0	0.06015
1	0.04454
2	0.03922
3	0.03572
4	0.03203
5	0.02942
6	0.02674
7	0.02497
8	0.02288
9	0.0209
10	0.01917
11	0.01741
12	0.01623
13	0.01495
14	0.01403
15	0.01286
16	0.01179
17	0.0109
18	0.0102
19	0.00962
20	0.00906
21	0.00839
22	0.00781
23	0.00724
24	0.0066
25	0.00594
26	0.00569
27	0.00561
28	0.00561
29	0.00569
30	0.00594
31	0.0066
32	0.00724
33	0.00781
34	0.00839
35	0.00906
36	0.00962
37	0.0102
38	0.0109
39	0.01179
40	0.01286
41	0.01403
42	0.01495
43	0.01623
44	0.01741
45	0.01917
46	0.0209
47	0.02288
48	0.02497
49	0.02674
50	0.02942
51	0.03203
52	0.03572
53	0.03922
54	0.04454
