C? 	independence=4 	domination=4
CC 	independence=3 	domination=3
CE 	independence=3 	domination=2
CF 	independence=3 	domination=1
CQ 	independence=2 	domination=2
CU 	independence=2 	domination=2
CT 	independence=2 	domination=2
CV 	independence=2 	domination=1
C] 	independence=2 	domination=2
C^ 	independence=2 	domination=1
C~ 	independence=1 	domination=1
0m0,002s
