G?ABFc 	independence=5 	domination=3
G?ABEs 	independence=5 	domination=3
G?ABBs 	independence=5 	domination=2
G?ABFK 	independence=5 	domination=3
G?ABEk 	independence=5 	domination=3
G?ABC{ 	independence=5 	domination=2
G?ABFw 	independence=5 	domination=2
G?ABFs 	independence=5 	domination=2
G?ABFk 	independence=5 	domination=2
G?ABE{ 	independence=5 	domination=2
G?ABF{ 	independence=5 	domination=1
G?ACJ_ 	independence=5 	domination=3
G?ACKK 	independence=5 	domination=5
G?ACN_ 	independence=5 	domination=3
G?ACJo 	independence=5 	domination=2
G?ACNG 	independence=5 	domination=4
G?ACMK 	independence=5 	domination=4
G?ACNo 	independence=5 	domination=2
G?ACNg 	independence=5 	domination=3
G?ACNK 	independence=5 	domination=3
G?ACNw 	independence=5 	domination=2
G?ACNk 	independence=5 	domination=2
G?ACN{ 	independence=5 	domination=1
G?AFBG 	independence=5 	domination=4
G?AFAg 	independence=5 	domination=3
G?AF?w 	independence=5 	domination=2
G?AFF_ 	independence=5 	domination=4
G?AFEo 	independence=5 	domination=3
G?AFBo 	independence=5 	domination=3
G?AFFG 	independence=5 	domination=4
G?AFEg 	independence=5 	domination=3
G?AFBg 	independence=5 	domination=3
G?AFCw 	independence=5 	domination=2
G?AFAw 	independence=5 	domination=2
G?AFFC 	independence=5 	domination=4
G?AFEc 	independence=5 	domination=4
G?AFCs 	independence=5 	domination=3
G?AFEK 	independence=5 	domination=4
G?AFBK 	independence=5 	domination=4
G?AFCk 	independence=5 	domination=3
G?AFAk 	independence=5 	domination=3
G?AF?{ 	independence=5 	domination=2
G?AFFo 	independence=5 	domination=3
G?AFFg 	independence=5 	domination=3
G?AFEw 	independence=5 	domination=2
G?AFBw 	independence=5 	domination=2
G?AFFc 	independence=5 	domination=3
G?AFEs 	independence=5 	domination=3
G?AFBs 	independence=5 	domination=2
G?AFFK 	independence=5 	domination=3
G?AFEk 	independence=5 	domination=3
G?AFBk 	independence=5 	domination=3
G?AFC{ 	independence=5 	domination=2
G?AFA{ 	independence=5 	domination=2
G?AFFw 	independence=5 	domination=2
G?AFFs 	independence=5 	domination=2
G?AFFk 	independence=5 	domination=2
G?AFE{ 	independence=5 	domination=2
G?AFB{ 	independence=5 	domination=2
G?AFF{ 	independence=5 	domination=1
G?ABf? 	independence=5 	domination=4
G?ABb_ 	independence=5 	domination=4
G?ABeO 	independence=5 	domination=3
G?ABbO 	independence=5 	domination=3
G?ABeG 	independence=5 	domination=3
G?ABcW 	independence=5 	domination=2
G?ABf_ 	independence=5 	domination=4
G?ABfO 	independence=5 	domination=3
G?ABbo 	independence=5 	domination=3
G?ABfG 	independence=5 	domination=3
G?ABeW 	independence=5 	domination=2
G?ABfC 	independence=5 	domination=4
G?ABbc 	independence=5 	domination=3
G?ABeS 	independence=5 	domination=3
G?ABbS 	independence=5 	domination=3
G?ABeK 	independence=5 	domination=3
G?ABc[ 	independence=5 	domination=2
G?ABfo 	independence=5 	domination=3
