F?bno 	independence=4 	domination=2
F?bnW 	independence=4 	domination=2
F?bmw 	independence=4 	domination=2
F?bnw 	independence=4 	domination=1
F?b~o 	independence=4 	domination=2
F?b~w 	independence=4 	domination=1
F?rF? 	independence=4 	domination=4
F?rEO 	independence=4 	domination=4
F?rF_ 	independence=4 	domination=3
F?rFO 	independence=4 	domination=3
F?rDo 	independence=4 	domination=2
F?rEW 	independence=4 	domination=3
F?rFo 	independence=4 	domination=2
F?rFW 	independence=4 	domination=2
F?rFw 	independence=4 	domination=1
F?qb? 	independence=4 	domination=4
F?qf? 	independence=4 	domination=4
F?qb_ 	independence=4 	domination=3
F?qdO 	independence=4 	domination=4
F?qbO 	independence=4 	domination=3
F?q`o 	independence=4 	domination=3
F?qcW 	independence=4 	domination=4
F?qaW 	independence=4 	domination=3
F?q_w 	independence=4 	domination=3
F?qf_ 	independence=4 	domination=3
F?qfO 	independence=4 	domination=3
F?qeo 	independence=4 	domination=2
F?qdo 	independence=4 	domination=3
F?qbo 	independence=4 	domination=2
F?qeW 	independence=4 	domination=3
F?qbW 	independence=4 	domination=3
F?qcw 	independence=4 	domination=3
F?qaw 	independence=4 	domination=2
F?qfo 	independence=4 	domination=2
F?qfW 	independence=4 	domination=2
F?qew 	independence=4 	domination=2
F?qbw 	independence=4 	domination=2
F?qfw 	independence=4 	domination=1
F?ou? 	independence=4 	domination=3
F?ov? 	independence=4 	domination=3
F?ouO 	independence=4 	domination=2
F?otO 	independence=4 	domination=3
F?opo 	independence=4 	domination=3
F?osW 	independence=4 	domination=3
F?ov_ 	independence=4 	domination=3
F?ovO 	independence=4 	domination=2
F?oto 	independence=4 	domination=3
F?ouW 	independence=4 	domination=2
F?otW 	independence=4 	domination=3
F?ovo 	independence=4 	domination=2
F?ovW 	independence=4 	domination=2
F?ovw 	independence=4 	domination=1
F?rf? 	independence=4 	domination=4
F?re_ 	independence=4 	domination=3
F?reO 	independence=4 	domination=3
F?rf_ 	independence=4 	domination=3
F?rfO 	independence=4 	domination=3
F?reo 	independence=4 	domination=2
F?rdo 	independence=4 	domination=2
F?rfG 	independence=4 	domination=3
F?reg 	independence=4 	domination=3
F?rfo 	independence=4 	domination=2
F?rfg 	independence=4 	domination=2
F?rfW 	independence=4 	domination=2
F?rew 	independence=4 	domination=2
F?rdw 	independence=4 	domination=2
F?rfw 	independence=4 	domination=1
F?qr_ 	independence=4 	domination=3
F?qrO 	independence=4 	domination=2
F?qpo 	independence=4 	domination=3
F?qv_ 	independence=4 	domination=3
F?qvO 	independence=4 	domination=2
F?qto 	independence=4 	domination=3
F?qro 	independence=4 	domination=2
F?qvG 	independence=4 	domination=3
F?qtg 	independence=4 	domination=2
F?qrg 	independence=4 	domination=2
F?quW 	independence=4 	domination=2
F?qvo 	independence=4 	domination=2
F?qvg 	independence=4 	domination=2
F?qvW 	independence=4 	domination=2
F?qtw 	independence=4 	domination=2
F?qrw 	independence=4 	domination=2
F?qvw 	independence=4 	domination=1
F?rN_ 	independence=4 	domination=2
F?rNO 	independence=4 	domination=3
F?rMW 	independence=4 	domination=3
F?rNo 	independence=4 	domination=2
F?rNW 	independence=4 	domination=2
F?rLw 	independence=4 	domination=2
F?rNw 	independence=4 	domination=1
F?qn_ 	independence=4 	domination=2
F?qnO 	independence=4 	domination=3
F?qmo 	independence=4 	domination=2
F?qlo 	independence=4 	domination=2
F?qjo 	independence=4 	domination=2
F?qmW 	independence=4 	domination=3
F?qjW 	independence=4 	domination=3
F?qkw 	independence=4 	domination=3
F?qno 	independence=4 	domination=2
F?qnW 	independence=4 	domination=2
F?qmw 	independence=4 	domination=2
F?qjw 	independence=4 	domination=2
F?qnw 	independence=4 	domination=1
F?o~_ 	independence=4 	domination=2
F?o~O 	independence=4 	domination=2
F?o|o 	independence=4 	domination=2
F?o}W 	independence=4 	domination=2
F?o|W 	independence=4 	domination=3
F?o~o 	independence=4 	domination=2
F?o~W 	independence=4 	domination=2
F?o~w 	independence=4 	domination=1
F?rv_ 	independence=4 	domination=3
F?rvo 	independence=4 	domination=2
F?rvg 	independence=4 	domination=2
F?rvw 	independence=4 	domination=1
F?rn_ 	independence=4 	domination=2
F?rno 	independence=4 	domination=2
F?rng 	independence=4 	domination=2
F?rnW 	independence=4 	domination=2
F?rmw 	independence=4 	domination=2
F?rnw 	independence=4 	domination=1
F?q~_ 	independence=4 	domination=2
F?q~o 	independence=4 	domination=2
F?q~g 	independence=4 	domination=2
F?q~W 	independence=4 	domination=2
F?q|w 	independence=4 	domination=2
F?qzw 	independence=4 	domination=2
F?q~w 	independence=4 	domination=1
F?r~o 	independence=4 	domination=2
F?r~w 	independence=4 	domination=1
F?zf? 	independence=4 	domination=4
F?zf_ 	independence=4 	domination=3
F?zfO 	independence=4 	domination=3
F?zeW 	independence=4 	domination=3
F?zcw 	independence=4 	domination=2
F?zfo 	independence=4 	domination=2
F?zfW 	independence=4 	domination=2
F?zew 	independence=4 	domination=2
F?zfw 	independence=4 	domination=1
F?zV_ 	independence=4 	domination=3
F?zVO 	independence=4 	domination=2
F?zUo 	independence=4 	domination=3
F?zTo 	independence=4 	domination=2
F?zUW 	independence=4 	domination=3
F?zTW 	independence=4 	domination=2
F?zPw 	independence=4 	domination=2
F?zVo 	independence=4 	domination=2
F?zVW 	independence=4 	domination=2
F?zTw 	independence=4 	domination=2
F?zVw 	independence=4 	domination=1
F?zv_ 	independence=4 	domination=3
F?zvO 	independence=4 	domination=2
F?zuo 	independence=4 	domination=2
F?zvo 	independence=4 	domination=2
F?zvg 	independence=4 	domination=2
F?zvw 	independence=4 	domination=1
F?zno 	independence=4 	domination=2
F?znW 	independence=4 	domination=2
F?zmw 	independence=4 	domination=2
F?znw 	independence=4 	domination=1
F?z^o 	independence=4 	domination=2
F?z\w 	independence=4 	domination=2
F?z^w 	independence=4 	domination=1
F?z~w 	independence=4 	domination=1
F?~v_ 	independence=4 	domination=3
F?~vo 	independence=4 	domination=2
F?~vW 	independence=4 	domination=2
F?~vw 	independence=4 	domination=1
F?~~w 	independence=4 	domination=1
FCOe? 	independence=4 	domination=4
FCOc_ 	independence=3 	domination=3
FCOf? 	independence=4 	domination=4
FCOe_ 	independence=3 	domination=3
FCOf_ 	independence=3 	domination=3
FCOeo 	independence=3 	domination=2
FCOfo 	independence=3 	domination=2
FCOfw 	independence=3 	domination=1
FCQb? 	independence=4 	domination=4
FCQ`_ 	independence=3 	domination=3
FCQaO 	independence=3 	domination=3
FCQf? 	independence=4 	domination=4
FCQe_ 	independence=3 	domination=3
FCQd_ 	independence=3 	domination=3
FCQb_ 	independence=3 	domination=3
FCQeO 	independence=3 	domination=3
FCQbO 	independence=3 	domination=3
FCQeG 	independence=4 	domination=4
FCQf_ 	independence=3 	domination=3
FCQfO 	independence=3 	domination=3
FCQeo 	independence=3 	domination=2
FCQbo 	independence=3 	domination=2
FCQfG 	independence=3 	domination=3
FCQdg 	independence=3 	domination=2
