0.03252		0.03239		
0.04472		0.03644		
0.01626		0.01215		
0.03659		0.02429		
0.02439		0.04049		
0.02033		0.03239		
0.03252		0.03644		
0.03659		0.02024		
0.04472		0.03644		
0.03252		0.03644		
0.02846		0.04453		
0.02846		0.04858		
0.02439		0.02429		
0.02846		0.03239		
0.03659		0.04049		
0.03252		0.02429		
0.03252		0.00810		
0.04472		0.04453		
0.02439		0.02024		
0.04065		0.03239		
0.01220		0.01619		
0.02033		0.05668		
0.04065		0.02834		
0.04878		0.02834		
0.01626		0.04453		
0.02846		0.01215		
0.02033		0.02834		
0.02033		0.01619		
0.03252		0.03239		
0.01220		0.01619		
0.03659		0.03239		
0.02846		0.01619		
0.04065		0.04453		
